"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"50544-6","","","","","","","","","Everolimus [Mass/volume] in Blood","","الإيفيروليمس في الدم ( بتقنية الكتلة / الحجم )"
"51760-7","","","","","","","","","Ehrlichia chaffeensis IgG+IgM Ab [Presence] in Serum or Plasma","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G و M لبكتيريا إيرليخيا شافينسيس في المصل أو البلازما"
"5351-2","","","","","","","","","Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay","","الكشف عن تواجد الأجسام المضادة النووية القابلة للاستخلاص من متلازمة شوغرن-أ في المصل باستخدام تقنية المقايسة المناعية"
"47855-2","","","","","","","","","Fibroblast growth factor 23.C-terminal [Units/volume] in Plasma","","الطرف الكربوكسيلي لعامل نمو الخلايا الليفية 23 في البلازما ( بتقنية الوحدات / الحجم )"
"48598-7","","","","","","","","","BBS2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","","تحليل الطفرات المستهدفة لجين BBS2 في الدم أو الأنسجة باستخدام طريقة علم الوراثة الجزيئية"
"53028-7","","","","","","","","","Cyclic citrullinated peptide Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة للببتيد الستيروليني الحلقي CCP"
"53372-9","","","","","","","","","Echovirus IgM Ab [Titer] in Serum","","تحديد كمية أضداد الغلوبولين المناعي نمط M لداء المشوكات في المصل"
"5353-8","","","","","","","","","Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay","","الكشف عن تواجد الأجسام المضادة النووية القابلة للاستخلاص من متلازمة شوغرن-ب في مصل الدم باستخدام تقنية المقايسة المناعية"
"54089-8","","","","","","","","","Newborn screening panel American Health Information Community (AHIC)","","لوحة فحص حديثي الولادة حسب جمعية المعلومات الصحية الأمريكية"
"54344-7","","","","","","","","","3-Methoxytyramine [Mass/volume] in 24 hour Urine","","3 ميثوكسي تيرامين ( بتقنية الكتلة / الحجم ) في البول المجمع لمدة 24 ساعة"
"55220-8","","","","","","","","","Asialoglycoprotein receptor Ab [Units/volume] in Serum","","الأجسام المضادة لمستقبلات البروتين السكري الآسيوي ( بتقنية الوحدات / الحجم ) في المصل"
"50039-7","","","","","","","","","5-Methyltetrahydrofolate/Folate in Serum or Plasma","","قياس مستوى الـ 5 - ميثيل تترا هيدروفوليت في المصل أو البلازما"
"50150-2","","","","","","","","","5-Hydroxytryptophan [Moles/volume] in Serum or Plasma","","5 هيدروكسي تريبتوفان ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"5132-6","","","","","","","","","DNA single strand Ab [Units/volume] in Serum","","أضداد الحمض النووي أحادي السلسلة في المصل ( بتقنية الوحدات / الحجم )"
"51979-3","","","","","","","","","Donepezil [Mass/volume] in Serum or Plasma","","الدونيبيزيل في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"5646-5","","","","","","","","","Ethylene glycol [Mass/volume] in Serum, Plasma or Blood","","الإيثيلين غليكول في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"62369-4","","","","","","","","","FISH probe name panel - Laboratory device","",""
"25303-9","","","","","","","","","Alpha 1 antitrypsin [Mass/mass] in Stool","","ألفا 1 أنتي تريبسين ( بتقنية الكتلة / الحجم ) في البراز"
"26784-9","","","","","","","","","diazePAM [Mass/volume] in Serum or Plasma by Confirmatory method","","الديازيبام في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"10331-7","","","","","","","","","Rh [Type] in Blood","","فحص تحديد عامل الريزوس"
"108288-2","","","","","","","","","Endomysium IgM Ab [Units/volume] in Serum","","الأجسام المضادة للغلوبولين المناعي نمط M لغشاء الليف الداخلي في المصل ( بتقنية الوحدات / الحجم )"
"21665-5","","","","","","","","","EGFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","","الكشف عن طفرات جينية في عامل نمو البشرة في الدم أو الأنسجة ( بتقنية الوراثة الجزيئية )"
"21667-1","","","","","","","","","F5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","","العثور على طفرات جينية في جين F5 في الدم أو الأنسجة ( بتقني علم الوراثة الجزيئية )"
"2178-2","","","","","","","","","Cystine [Mass/volume] in Urine","","السيستين ( بتقنية الكتلة / الحجم ) في البول"
"2232-7","","","","","","","","","EPINEPHrine [Mass/time] in 24 hour Urine","","الإيبينفرين أو الأدرينالين في البول المجمع لمدة 24 ساعة ( بتقنية الكتلة / الحجم )"
"2250-9","","","","","","","","","Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma","","الإستريول E3 الغير مقترن في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"2283-0","","","","","","","","","Folate [Mass/volume] in Red Blood Cells","","الفوليت أو حمض الفوليك في كريات الدم الحمراء"
"2284-8","","","","","","","","","Folate [Mass/volume] in Serum or Plasma","","الفوليت أو حمض الفوليك في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"2333-3","","","","","","","","","Gastrin [Mass/volume] in Serum or Plasma","","الغاسترين في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"14062-4","","","","","","","","","Dexamethasone [Mass/volume] in Serum or Plasma","","الديكساميثازون في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"14589-6","","","","","","","","","Amylase isoenzymes [Interpretation] in Serum or Plasma","","أنزيمات الأميلاز المتماثلة في المصل أو البلازما"
"1832-5","","","","","","","","","Alpha-1-Fetoprotein [Mass/volume] in Amniotic fluid","","الألفا 1 فيتوبروتين ( بتقنية الكتلة / الحجم ) في السائل الأمنيوسي"
"25343-5","","","","","","","","","Fasciola sp IgG Ab [Units/volume] in Serum","","أضداد الغلوبولين المناعي نمط G لداء المتورقات في المصل ( بتقنية الوحدات / الحجم )"
"29771-3","","","","","","","","","Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay","","الكشف عن تواجد الهيموغلوبين في الجزء السفلي من الجهاز الهضمي ، في البراز ( بتقنية المقايسة المناعية )"
"30340-4","","","","","","","","","Epstein Barr virus capsid IgM Ab [Presence] in Serum","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط M لغلاف فيروس الإبشتاين بار في المصل"
"31375-9","","","","","","","","","Epstein Barr virus nuclear IgM Ab [Units/volume] in Serum","","تحديد كمية أضداد الغلوبولين المناعي نمط M لفيروس الإبشتاين بار في المصل ( بتقنية الوحدات / الحجم )"
"3193-0","","","","","","","","","Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر الخامس الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"4996-5","","","","","","","","","Cytomegalovirus DNA [Presence] in Blood by NAA with probe detection","","الكشف عن تواجد الحمض النووي للفيروس المضخم للخلايا في الدم ( بتقنية تضخيم الحمض النووي )"
"43311-0","","","","","","","","","Desmoglein 1 Ab [Units/volume] in Serum","","أضداد الديسموغلين 1 في المصل ( بتقنية الوحدات / الحجم )"
"49329-6","","","","","","","","","Interferon alpha Ab [Presence] in Serum or Plasma by Immunoassay","","الكشف عن تواجد أضداد الألفا إنترفيرون في المصل أو البلازما باستخدام تقنية تقنية الإختبار المناعي"
"18262-6","","","","","","","","","Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay","الكوليستيرول المنخفض الكثافة","الكوليستيرول الضار"
"2498-4","","","","","","","","","Iron [Mass/volume] in Serum or Plasma","مستوى الحديد في المصل","مقياس الحديد الآني"
"24373-3","","","","","","","","","Ferritin [Mass/volume] in Blood","مقياس الحديد المخزن في الجسم","مقياس الحديد المخزن في الجسم"
"26474-7","","","","","","","","","Lymphocytes [#/volume] in Blood","الخلايا اللمفاوية","الخلايا اللمفاوية"
"26515-7","","","","","","","","","Platelets [#/volume] in Blood","الصفائح الدموية","الصفائح الدموية"
"3043-7","","","","","","","","","Triglyceride [Mass/volume] in Blood","الدهنيات الثلاثية (الترايغلسيرايد)","الدهنيات الثلاثيه"
"30325-5","","","","","","","","","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط M للفيروس المضخم للخلايا في المصل أو البلازما"
"31499-7","","","","","","","","","Ganglioside GM1 IgG Ab [Units/volume] in Serum","","أضداد الغلوبولين المناعي نمط G للغانغليوزيد GM1 في المصل ( بتقنية الوحدات / الحجم )"
"31627-3","","","","","","","","","Smith extractable nuclear Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة النووية القابلة للإستخلاص من متلازمة سميث في المصل"
"3187-2","","","","","","","","","Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر التاسع الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"3209-4","","","","","","","","","Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر الثامن الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"34228-7","","","","","","","","","Acylcarnitine [Moles/volume] in 24 hour Urine","","الأسيل كارنتين ( بتقنية الكتلة / الحجم ) في البول المجمع لمدة 24 ساعة"
"34405-1","","","","","","","","","Escitalopram [Mass/volume] in Serum or Plasma","","الإسيتالوبرام في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"34718-7","","","","","","","","","CFTR gene mutations found [Identifier] in Amniotic fluid by Molecular genetics method Nominal","","تحديد هوية الطفرة في جين التليف الكيسي في السائل الأمنيوسي ( بتقنية علم الوراثة الجزيئية )"
"35668-3","","","","","","","","","Gentamicin [Mass/volume] in Serum or Plasma","","الجنتاميسين في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"3643-4","","","","","","","","","FLUoxetine [Presence] in Serum or Plasma","","الكشف عن تواجد الفلوكستين في المصل أو البلازما"
"38362-0","","","","","","","","","Muscle specific receptor tyrosine kinase Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة للمستقبلات الخاصة بالعضلات ( تيروزين كيناز ) في المصل"
"11580-8","","","","","","","","","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","الهرمون المحفز دماغيا للغدة الدرقية","الهرمون المحفز للغدة الدرقية"
"38404-0","","","","","","","","","CFTR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","","تحديد هوية الطفرة في جين التليف الكيسي في الدم أو الأنسجة ( بتقنية علم الوراثة الجزيئية )"
"43439-9","","","","","","","","","Bartonella henselae and Bartonella quintana IgG panel [Titer] - Serum","","تحديد كمية أضداد الغلوبولين المناعي نمط G لبكتيريا بارتونيلا هنسيلاي وبارتونيلا كوينتانا في مصل"
"49086-2","","","","","","","","","First trimester maternal screen with nuchal translucency panel","","فحص الثلث الأول من الحمل باستخدام لوحة قياس الشفافية القفوية"
"4548-4","","","","","","","","","Hemoglobin A1c/Hemoglobin.total in Blood","سكري الدم التراكمي المرتبط بالهيموغلوبين","نسبة سكر الدم التراكمي - بدون صيام"
"1558-6","","","","","","","","","Fasting glucose [Mass/volume] in Serum or Plasma","مستوى سكر الصيام","مستوى السكر الصائم"
"2085-9","","","","","","","","","Cholesterol in HDL [Mass/volume] in Serum or Plasma","الكوليستيرول العالي الكثافة","الكوليستيرول الجيد"
"718-7","","","","","","","","","Hemoglobin [Mass/volume] in Blood","هيموغلوبين ""خضاب"" الدم (قوة الدم)","هيموغلوبين ""خضاب"" الدم (قوة الدم)"
"2093-3","","","","","","","","","Cholesterol [Mass/volume] in Serum or Plasma","قياس مستوى الكوليسترول الكلي","قياس مستوى الكوليسترول الكلي"
"789-8","","","","","","","","","Erythrocytes [#/volume] in Blood by Automated count","عدد كريات الدم الحمراء باستخدام تقنية العد الآلي","عدد كريات الدم الحمراء باستخدام تقنية العد الآلي"
"13943-6","","","","","","","","","Fructose [Presence] in Semen","","الكشف عن تواجد الفركتوز في السائل المنوي"
"63090-5","","","","","","","","","Beta lactoglobulin IgG Ab [Mass/volume] in Serum","","أضداد الغلوبولين المناعي نمط G لبروتين بيتا لاكتوغلوبولين ( بتقنية الكتلة/الحجم ) في المصل"
"53371-1","","","","","","","","","Echovirus IgG Ab [Titer] in Serum","","تحديد كمية أضداد الغلوبولين المناعي نمط G لداء المشوكات في المصل"
"15179-5","","","","","","","","","Fibrin D-dimer [Presence] in Platelet poor plasma","","الكشف عن تواجد الدي دايمر في بلازما فقيرة بالصفائح الدموية"
"17781-6","","","","","","","","","21-Hydroxylase Ab [Units/volume] in Serum","","الكشف عن أضداد الـ 17 هيدروكسيلاز ( بتقنية الوحدات / الحجم ) في البول أو المصل"
"1835-8","","","","","","","","","Alpha-2-Macroglobulin [Mass/volume] in Serum or Plasma","","الألفا 2 ماكروغلوبيولين ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"1848-1","","","","","","","","","Androstanolone [Mass/volume] in Serum or Plasma","","الأندروستانولون في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"24007-7","","","","","","","","","Epstein Barr virus early IgG Ab [Units/volume] in Serum","","تحديد كمية أضداد الغلوبولين المناعي نمط G المبكرة لفيروس الإبشتاين بار في المصل ( بتقنية الوحدات / الحجم )"
"24068-9","","","","","","","","","Beta mannosidase [Enzymatic activity/mass] in Leukocytes","","إنزيم بيتا مانوسيداز ( بتقنية النشاط الإنزيمي/الكتلة ) في كريات الدم البيضاء"
"24326-1","","","","","","","","","Electrolytes 1998 panel - Serum or Plasma","","الكهروليتات أو الشوارد في المصل أو البلازما"
"101936-3","","","","","","","","","Candida albicans DNA [Presence] in Specimen by NAA with probe detection","","الكشف عن وجود الحمض النووي لفطر المبيضات البيضاء في العينة ( بتقنية تضخيم الحمض النووي )"
"10524-7","","","","","","","","","Microscopic observation [Identifier] in Cervix by Cyto stain","","دراسة مجهرية لخلايا عنق الرحم"
"10535-3","","","","","","","","","Digoxin [Mass/volume] in Serum or Plasma","","الديجوكسين فب المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"10663-3","","","","","","","","","Filaria identified in Blood by Thick film","","الكشف عن تواجد الفيلاريا ( الطفيلي المسبب لداء الفيل ) في الدم ( بتقنية اللطاخة الدموية السميكة )"
"11068-4","","","","","","","","","Microscopic observation [Identifier] in Body fluid by Cyto stain","","دراسة مجهرية لخلايا سوائل الجسم"
"15061-5","","","","","","","","","Erythropoietin (EPO) [Units/volume] in Serum or Plasma","","الأريثروبويتين في المصل أو البلازما ( بتقنية الوحدات / الحجم )"
"15069-8","","","","","","","","","Fructosamine [Moles/volume] in Serum or Plasma","","الفركتوز امين في المصل أو البلازما ( بتقنية المولات / الحجم )"
"1657-6","","","","","","","","","11-Deoxycortisol [Mass/volume] in Serum or Plasma","","11 ديوكسي كورتيزول ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"1668-3","","","","","","","","","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma","","17 هيدروكسي بروجسترون ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"1690-7","","","","","","","","","5'-Nucleotidase [Enzymatic activity/volume] in Serum or Plasma","","5 نكليوتيدتاز ( بتقنية حجم النشاط الأنزيمي ) في المصل أو البلازما"
"1937-2","","","","","","","","","Beta endorphin [Mass/volume] in Serum or Plasma","","البيتا إندروفين في المصل أو البلازما ( بتقنية الكتلة / االحجم )"
"10362-2","","","","","","","","","Endomysium IgA Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة للغلوبولين المناعي نمط A لغشاء الليف الداخلي في المصل"
"10975-1","","","","","","","","","6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine","","6 مونوأسيتايل (بآلية الكتلة/الحجم) مورفين في البول"
"11070-0","","","","","","","","","Microscopic observation [Identifier] in Urine by Cyto stain","","دراسة مجهرية لخلايا سوائل الجسم"
"3198-9","","","","","","","","","Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر السابع الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"20576-5","","","","","","","","","Galactose 1 phosphate uridyl transferase [Presence] in Blood","","الكشف عن تواجد إنزيم الغالاكتوز 1 فوسفات يوريديل ترانز فيراز في الدم"
"21038-5","","","","","","","","","17-Ketosteroids [Mass/volume] in 24 hour Urine","","17 كيتوستيرويد ( بتقنية الكتلة / الحجم ) في البول المجمع لمدة 24 ساعة"
"32620-7","","","","","","","","","Corynebacterium diphtheriae Ab [Presence] in Serum","","الكشف عن تواجد أضداد بكتيريا الوتدية الخناقية في المصل"
"3289-6","","","","","","","","","Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط البروثرومبين الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"33274-2","","","","","","","","","5-Methyltetrahydrofolate [Presence] in Cerebral spinal fluid","","الكشف عن تواجد 5-ميثيل تترا هيدروفوليت في السائل الدماغي الشوكي"
"3389-4","","","","","","","","","Benzodiazepines [Presence] in Serum or Plasma","","الكشف عن تواجد البنزوديازيبينات في المصل أو البلازما"
"3616-0","","","","","","","","","Ethosuximide [Mass/volume] in Serum or Plasma","","الإيثوسكسيميد في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"22285-1","","","","","","","","","Entamoeba histolytica Ab [Presence] in Serum","","الكشف عن تواجد أضداد الأميبا الحالة للأنسجة في المصل"
"2258-2","","","","","","","","","Estrone (E1) [Mass/volume] in Serum or Plasma","","الإسترون E1 في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"2276-4","","","","","","","","","Ferritin [Mass/volume] in Serum or Plasma","","مخزون الحديد ( الفيريتين ) في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"2331-7","","","","","","","","","Gastrin.17 residue fragment [Mass/volume] in Serum or Plasma","","جزء من بقايا الغاسترين 17 في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"2139-4","","","","","","","","","Corticosterone [Mass/volume] in Serum or Plasma","","الكورتيكوستيرون ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"2177-4","","","","","","","","","Cystine [Mass/volume] in Serum or Plasma","","الكشف عن تواجد السيستين في المصل أو البلازما"
"22244-8","","","","","","","","","Cytomegalovirus IgG Ab [Presence] in Serum or Plasma","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G للفيروس المضخم للخلايا في المصل أو البلازما"
"2306-9","","","","","","","","","Galactose [Presence] in Blood","","الكشف عن وجود الغالاكتوز في الدم"
"25339-3","","","","","","","","","Echinococcus sp Ab [Presence] in Serum","","الكشف عن تواجد أضداد داء المشوكات في المصل"
"25390-6","","","","","","","","","Cytokeratin 19 [Mass/volume] in Serum or Plasma","","السيتوكيراتين 19 ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"29263-1","","","","","","","","","Fibrin degradation products [Presence] in Blood by Agglutination","","الكشف عن تواجد نواتج تحلل الفيبرين في الدم ( بتقنية التراص )"
"29676-4","","","","","","","","","Dengue virus IgG Ab [Presence] in Serum","","الكشف عن تواجد أضداد الغلوبولين المناعي من نمط G لفيروس حمى الضنك في مصل الدم"
"30339-6","","","","","","","","","Epstein Barr virus capsid IgG Ab [Presence] in Serum","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G لغلاف فيروس الإبشتاين بار في المصل"
"30347-9","","","","","","","","","Glutamate decarboxylase 65 Ab [Moles/volume] in Serum","","أضداد الإنزيم دي كاربوكسيلاز غلوتامات 65 في المصل ( بتقنية المولات / الحجم )"
"31337-9","","","","","","","","","Cytotoxic percent reactive Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة التفاعلية السامة للخلايا في المصل"
"32171-1","","","","","","","","","Echinococcus sp IgG Ab [Presence] in Serum","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G لداء المشوكات في المصل"
"3232-6","","","","","","","","","Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay","","نشاط عامل التخثر الثاني عشر الفعلي/الطبيعي في بلازما فقيرة بالصفائح الدموية ( بتقنية فحص التخثر )"
"3255-7","","","","","","","","","Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay","","الفيبرينوجين في البلازما الفقيرة بالصفيحات ( بتقنية اختبار التخثر )"
"26673-4","","","","","","","","","Echinococcus granulosus Ab [Presence] in Serum","","الكشف عن تواجد أضداد داء المشوكات الحبيبي في المصل"
"26843-3","","","","","","","","","Cystine [Presence] in 24 hour Urine","","الكشف عن تواجد السيستين في البول المجمع لمدة 24 ساعة"
