"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"43916-6","","","","","","","","","Beta 2 glycoprotein 1 IgM Ab [Presence] in Serum","أضداد الغلوبولين المناعي نمط M للبيتا 2 غليكوبروتين 1","أضداد الغلوبولين المناعي نمط M للبيتا 2 غليكوبروتين 1"
"45005-6","","","","","","","","","Chlamydia trachomatis IgA Ab [Presence] in Serum","الكشف عن تواجد أضداد الغلوبولين المناعي نوع A للكلاميديا الحثرية","الكشف عن تواجد أضداد الغلوبولين المناعي نوع A للكلاميديا الحثرية"
"4519-5","","","","","","","","","Complement factor H [Mass/volume] in Serum or Plasma","متمم العامل H","متمم العامل H"
"50619-6","","","","","","","","","Karyotype [Identifier] in Blood or Tissue Narrative","تحديد النمط النووي للكروموسومات في الدم أو في الأنسجة","تحديد النمط النووي للكروموسومات في الدم أو في الأنسجة"
"51987-6","","","","","","","","","Coenzyme Q10 [Presence] in Serum or Plasma","الكشف عن تواجد تميم الأنزيم Q10","الكشف عن تواجد تميم الأنزيم Q10"
"52750-7","","","","","","","","","Activated protein C resistance [Presence] in Platelet poor plasma by Coagulation assay","الكشف عن مقاومة البروتين المنشط سي في صفيحات البلازما الفقيرة باستخدام تقنية التخثر","الكشف عن مقاومة البروتين المنشط سي "" العامل الخامس لايدن "" في صفيحات البلازما الفقيرة باستخدام تقنية التخثر"
"53962-7","","","","","","","","","Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma","الألفا فيتوبروتين AFP "" كمؤشر سرطاني ""","الألفا فيتوبروتين AFP "" كواسم سرطاني """
"55248-9","","","","","","","","","HBB gene c.79G>A [Presence] in Blood by Molecular genetics method","بيتا ثالاسيميا (22 طفرة) باستخدام تقنية التفاعل التسلسلي للبوليميراز ( الدم، السائل الأمنيوسي، المشيمة)","بيتا ثالاسيميا (22 طفرة) باستخدام تقنية التفاعل التسلسلي للبوليميراز ( الدم، السائل الأمنيوسي، المشيمة)"
"5567-3","","","","","","","","","Acetone [Presence] in Serum or Plasma","الكشف عن تواجد الأسيتون في البلازما","الكشف عن تواجد الأسيتون "" الكيتون ، الخلون "" في البلازما"
"5574-9","","","","","","","","","Aluminum [Mass/volume] in Serum or Plasma","الكشف عن تواجد الألومنيوم في المصل أو البلازما","الكشف عن تواجد الألومنيوم في المصل أو البلازما"
"5585-5","","","","","","","","","Arsenic [Mass/volume] in Serum or Plasma","قياس مستوى الزرنيخ","قياس مستوى الزرنيخ"
"56150-6","","","","","","","","","Candida albicans IgM Ab [Units/volume] in Serum","أضداد الغلوبولين المناعي نوع M للمبيضات البيضاء "" الكانديدا ""","أضداد الغلوبولين المناعي نوع M للمبيضات البيضاء "" الكانديدا """
"5631-7","","","","","","","","","Copper [Mass/volume] in Serum or Plasma","قياس مستوى النحاس","قياس مستوى النحاس"
"6328-9","","","","","","","","","Brucella sp Ab [Titer] in Serum by Immunofluorescence","تحديد كمية أضداد البروسيلا بطريقة باستخدام تقنية المناعة الفلورية","تحديد كمية أضداد البروسيلا بطريقة باستخدام تقنية المناعة الفلورية"
"65364-2","","","","","","","","","Cortisol Free/Cortisol.total in Serum or Plasma","قياس مستوى الكورتيزول الكلي والحر","قياس مستوى الكورتيزول الكلي والحر"
"6768-6","","","","","","","","","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma","أنزيم الفوسفاتاز القلوية","أنزيم الفوسفاتاز القلوية"
"70012-0","","","","","","","","","Coxsackievirus IgM Ab [Presence] in Serum or Plasma by Immunoassay","الكشف عن تواجد أضداد الغلوبولين المناعي نوع M لفيروس كوكساكي باستخدام تقنية المقايسة المناعية","الكشف عن تواجد أضداد الغلوبولين المناعي نوع M لفيروس كوكساكي باستخدام تقنية المقايسة المناعية"
"48498-0","","","","","","","","","Amyloid A [Mass/volume] in Serum or Plasma","قياس مستوى الأمايلويد A","قياس مستوى الأمايلويد A"
"50612-1","","","","","","","","","Chlamydophila pneumoniae IgA and IgG and IgM [Interpretation] in Serum","أضداد الغلوبولين المناعي نوع G و M للكلاميدوفيلا الرئوية","أضداد الغلوبولين المناعي نوع G و M للكلاميدوفيلا "" المتدثرة "" الرئوية"
"5117-7","","","","","","","","","Cryoglobulin [Presence] in Serum","الكشف عن تواجد الكريوغلوبولينات "" غلوبولينات البرد ""","الكشف عن تواجد الكريوغلوبولينات "" غلوبولينات البرد """
"51453-9","","","","","","","","","Coxsackievirus A9+B1+B2+B3+B4+B5+B6 Ab [Titer] in Serum","تحديد كمية أضداد فيروس كوكساكي (A9+B1+B2+B3+B4+B5+B6 )","تحديد كمية أضداد فيروس كوكساكي (A9+B1+B2+B3+B4+B5+B6 )"
"51539-5","","","","","","","","","Candida albicans IgG Ab [Presence] in Serum","الكشف عن تواجد أضداد الغلوبولين المناعي نوع G للمبيضات البيضاء "" الكانديدا ""","الكشف عن تواجد أضداد الغلوبولين المناعي نوع G للمبيضات البيضاء "" الكانديدا """
"55394-1","","","","","","","","","Protein and Glucose panel - Cerebral spinal fluid","قياس مجوعة البروتين والسكر في السائل الدماغي الشوكي","قياس مجوعة البروتين والسكر في السائل الدماغي الشوكي"
"56151-4","","","","","","","","","Candida albicans IgA Ab [Units/volume] in Serum","أضداد الغلوبولين المناعي نوع A للمبيضات البيضاء "" الكانديدا ""","أضداد الغلوبولين المناعي نوع A للمبيضات البيضاء "" الكانديدا """
"5616-8","","","","","","","","","Cesium [Mass/volume] in Serum or Plasma","مستوى السيزيوم","مستوى السيزيوم"
"5627-5","","","","","","","","","Cobalt [Mass/volume] in Serum or Plasma","قياس مستوى الكوبالت","قياس مستوى الكوبالت"
"5632-5","","","","","","","","","Copper [Mass/volume] in Urine","قياس مستوى النحاس في البول","قياس مستوى النحاس في البول"
"58450-8","","","","","","","","","Bilirubin [Presence] in Urine by Confirmatory method","الكشف عن تواجد البيليروبين الكلي في البول","الكشف عن تواجد البيليروبين الكلي في البول"
"58933-3","","","","","","","","","Endothelial cell Ab [Presence] in Serum or Plasma by Immunofluorescence","الكشف عن وجود أضداد الخلايا البطانية باستخدام تقنية المناعة الفلوية","الكشف عن وجود أضداد الخلايا البطانية باستخدام تقنية المناعة الفلوية"
"59343-4","","","","","","","","","Tadalafil [Mass/volume] in Serum or Plasma","السياليس "" التادالافيل ""","السياليس "" التادالافيل """
"6359-4","","","","","","","","","Clostridioides difficile toxin A [Units/volume] in Stool by Immunoassay","الكشف عن سم البكلوستريديوم ديفيسيل A في البراز باستخدام تقنية المقايسة المناعية","الكشف عن سم البكلوستريديوم ديفيسيل A في البراز باستخدام تقنية المقايسة المناعية"
"6706-6","","","","","","","","","buPROPion [Mass/volume] in Serum or Plasma","البوبروبيون "" الويلبوترين ""","البوبروبيون "" الويلبوترين """
"32672-8","","","","","","","","","Cold agglutinin [Presence] in Serum or Plasma","فحص التراص البارد","فحص التراص البارد"
"34557-9","","","","","","","","","Cell count and Differential panel - Body fluid","فحص سوائل البدن, عد الخلايا وتحديد نوعها","فحص سوائل البدن, عد الخلايا وتحديد نوعها"
"38445-3","","","","","","","","","Calprotectin [Mass/mass] in Stool","قياس كمية الكالبروتيكتن في البراز","قياس كمية الكالبروتيكتن في البراز"
"43091-8","","","","","","","","","Ascaris sp Ab [Titer] in Serum","تحديد كمية الأجسام المضادة للأسكاريس","تحديد كمية الأجسام المضادة للأسكاريس"
"43638-6","","","","","","","","","Aquaporin 4 water channel IgG Ab [Presence] in Serum or Plasma","أضداد الغلوبولين المناعي نمط G للأكوابورين 4","أضداد الغلوبولين المناعي نمط G للأكوابورين 4"
"43715-2","","","","","","","","","Acylcarnitine [Presence] in Blood","الكشف عن تواجد الأسيل كارنتين في الدم","الكشف عن تواجد الأسيل كارنتين في الدم"
"43716-0","","","","","","","","","Acylcarnitine [Presence] in Urine","الكشف عن تواجد الأسيل كارنتين في البول","الكشف عن تواجد الأسيل كارنتين في البول"
"43816-8","","","","","","","","","Amylase [Presence] in Body fluid","الكشف عن أنزيم الأميلاز في سوائل البدن","الكشف عن أنزيم الأميلاز في سوائل البدن"
"43889-5","","","","","","","","","Bile acid [Presence] in Urine","الكشف عن تواجد الحموض الصفراوية في البول","الكشف عن تواجد الحموض الصفراوية في البول"
"4505-4","","","","","","","","","Complement C5 [Mass/volume] in Serum or Plasma","المتمم C5","المتمم C5"
"46174-9","","","","","","","","","Borrelia burgdorferi IgA Ab [Units/volume] in Serum","تحديد كمية أضداد الغلوبلين المناعي نمط A للبوريليا بورغدورفيري","تحديد كمية أضداد الغلوبلين المناعي نمط A للبوريليا بورغدورفيري"
"49222-3","","","","","","","","","Food allergen panel - Serum","الكشف عن نوع الطعام المسبب للتحسس","الكشف عن نوع الطعام المسبب للتحسس"
"49927-7","","","","","","","","","Amylase in fluid/Amylase in serum","أنزيم الأميلاز في المصل وسوائل الجسم","أنزيم الأميلاز في المصل وسوائل الجسم"
"51818-3","","","","","","","","","Coxsackievirus B IgM Ab [Units/volume] in Serum by Immunoassay","أضداد الغلوبولين المناعي نوع M لفيروس كوكساكي باستخدام تقنية المقايسة المناعية","أضداد الغلوبولين المناعي نوع M لفيروس كوكساكي باستخدام تقنية المقايسة المناعية"
"5589-7","","","","","","","","","Barium [Mass/volume] in Serum or Plasma","قياس مستوى الباريوم","قياس مستوى الباريوم"
"38482-6","","","","","","","","","Creatine kinase.MB [Presence] in Serum or Plasma","أنزيم الكرياتين كيناز","أنزيم الكرياتين كيناز"
"41162-9","","","","","","","","","Adenovirus IgG Ab [Presence] in Serum","أضداد الغلوبولين المناعي نمط G للفيروس الغدي","أضداد الغلوبولين المناعي نمط G للفيروس الغدي"
"43126-2","","","","","","","","","Cortisol.free panel - 24 hour Urine","قياس مستوى الكورتيزول الحر في البول","قياس مستوى الكورتيزول الحر في البول"
"43131-2","","","","","","","","","Bacterial Ag panel - Cerebral spinal fluid","اختبار اللاتكس "" التراص "" البكتيري للسائل الدماغي الشوكي","اختبار اللاتكس "" التراص "" البكتيري للسائل الدماغي الشوكي"
"43625-3","","","","","","","","","Acetylcholine receptor Ab [Presence] in Serum","الكشف عن أضداد مستقبلات الأستيل كولين","الكشف عن أضداد مستقبلات الأستيل كولين"
"4478-4","","","","","","","","","Complement C1q [Mass/volume] in Serum or Plasma","مكون المكمل C1Q","مكون المكمل C1Q"
"44982-7","","","","","","","","","Chlamydophila pneumoniae IgA Ab [Presence] in Serum","الكشف عن تواجد أضداد الغلوبولين المناعي نوع A للكلاميدوفيلا الرئوية","الكشف عن تواجد أضداد الغلوبولين المناعي نوع A للكلاميدوفيلا الرئوية"
"4509-6","","","","","","","","","Complement C8 [Mass/volume] in Serum or Plasma","المتمم C8","المتمم C8"
"50995-0","","","","","","","","","BRCA1+BRCA2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","فحص جينات الـ BRCA1 و BRCA2 في الدم أو في الأنسجة","فحص جينات الـ BRCA1 و BRCA2 في الدم أو في الأنسجة"
"5129-2","","","","","","","","","Deoxyribonuclease Ab [Units/volume] in Serum","مضاد أنزيم الديوكسي ريبونوكلياز","مضاد أنزيم الديوكسي ريبونوكلياز"
"51817-5","","","","","","","","","Coxsackievirus B IgG Ab [Units/volume] in Serum by Immunoassay","أضداد الغلوبولين المناعي نوع G لفيروس كوكساكي باستخدام تقنية المقايسة المناعية","أضداد الغلوبولين المناعي نوع G لفيروس كوكساكي باستخدام تقنية المقايسة المناعية"
"5227-4","","","","","","","","","Streptococcal hyaluronidase Ab [Presence] in Serum","الكشف عن تواجد أضداد الهيالورونيداز للمكورات العقدية","الكشف عن تواجد أضداد الهيالورونيداز للمكورات العقدية"
"54020-3","","","","","","","","","Actin.filamentous Ab [Presence] in Serum or Plasma","الكشف عن تواجد أضداد الأكتين الخيطي","الكشف عن تواجد أضداد الأكتين الخيطي"
"5580-6","","","","","","","","","Antimony [Mass/volume] in Serum or Plasma","قياس مستوى الأنتيمون","قياس مستوى الأنتيمون "" الإثمد """
"5607-7","","","","","","","","","Boron [Mass/volume] in Serum or Plasma","قياس مستوى البورون","قياس مستوى البورون"
"5622-6","","","","","","","","","Chromium [Mass/volume] in Serum or Plasma","قياس مستوى الكروميوم","قياس مستوى الكروميوم"
"5912-1","","","","","","","","","Creatine kinase isoenzymes [Interpretation] in Serum or Plasma","الأنزيمات المتماثلة للكرياتين كيناز","الأنزيمات المتماثلة للكرياتين كيناز"
"637-9","","","","","","","","","Plasmodium sp identified in Blood by Thick film","الكشف عن البلازموديوم "" طفيلي الملاريا"" في شريحة الدم السميكة","الكشف عن البلازموديوم "" طفيلي الملاريا"" في شريحة الدم السميكة"
"6687-8","","","","","","","","","Citrate [Mass/time] in 24 hour Urine","السترات أو حمض الستريك في البول المجمع لمدة 24 ساعة","السترات أو حمض الستريك في البول المجمع لمدة 24 ساعة"
"6896-5","","","","","","","","","cloZAPine [Mass/volume] in Serum or Plasma","قياس مستوى الكلوزابين","قياس مستوى الكلوزابين"
"77084-2","","","","","","","","","ALPL gene full mutation analysis in Blood or Tissue by Sequencing","تحليل الطفرة الكاملة لجين ALPL في الدم أو الأنسجة باستخدام تقنية التفاعل التسلسلي للبوليميراز","تحليل الطفرة الكاملة لجين ALPL في الدم أو الأنسجة باستخدام تقنية التفاعل التسلسلي للبوليميراز"
"8058-0","","","","","","","","","Acetylcholine receptor Ab [Units/volume] in Serum","تحديد كمية أضداد مستقبلات الأستيل كولين","تحديد كمية أضداد مستقبلات الأستيل كولين"
"8061-4","","","","","","","","","Nuclear Ab [Presence] in Serum","أضداد النوى","أضداد النوى"
"88555-8","","","","","","","","","Galactomannan Ag [Presence] in Bronchoalveolar lavage","الكشف عن تواجد مستضد الغالاكتومانان لفطر الرشاشيات في سائل الشعب الهوائية","الكشف عن تواجد مستضد الغالاكتومانان لفطر الرشاشيات في سائل الشعب الهوائية"
"88581-4","","","","","","","","","Borrelia sp DNA [Identifier] in Cerebral spinal fluid by NAA with probe detection","الكشف عن البوريليا في السائل الماغي الشوكي باستخدام تقنية التفاعل التسلسلي للبوليميراز","الكشف عن البوريليا في السائل الماغي الشوكي باستخدام تقنية التفاعل التسلسلي للبوليميراز"
"90925-9","","","","","","","","","HBB gene full mutation analysis in Amniotic fluid or Chorionic villus sample by Sequencing","تحليل الطفرة الكاملة لجين الـ HBB في عينة السائل الأمنيوسي أو الزغابات المشيمية باستخدام تقنية التفاعل التسلسلي للبوليميراز","تحليل الطفرة الكاملة لجين الـ HBB في عينة السائل الأمنيوسي أو الزغابات المشيمية باستخدام تقنية التفاعل التسلسلي للبوليميراز"
"94505-5","","","","","","","","","SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","أضداد الغلوبولين المناعي نوع G لفيروس الكورونا "" كوفيد 19 "" باستخدام تقنية المقايسة المناعية","أضداد الغلوبولين المناعي نوع G لفيروس الكورونا "" كوفيد 19 "" باستخدام تقنية المقايسة المناعية"
"9811-1","","","","","","","","","Chromogranin A [Mass/volume] in Serum or Plasma","الكروموغرانين A","الكروموغرانين A"
"7817-0","","","","","","","","","Borrelia burgdorferi IgG Ab [Units/volume] in Serum","أضداد الغلوبلين المناعي نمط G للبوريليا بورغدورفيري","أضداد الغلوبلين المناعي نمط G للبوريليا بورغدورفيري"
"7818-8","","","","","","","","","Borrelia burgdorferi IgM Ab [Units/volume] in Serum","أضداد الغلوبلين المناعي نمط M للبوريليا بورغدورفيري","أضداد الغلوبلين المناعي نمط M للبوريليا بورغدورفيري"
"80981-4","","","","","","","","","N,N-dimethylarginine [Mass/volume] in Serum or Plasma","ثنائي ميثيل أرجينين","ثنائي ميثيل أرجينين"
"888-8","","","","","","","","","Blood group antibodies identified in Serum or Plasma","تحديد نوع الأجسام المضادة","تحديد نوع الأجسام المضادة"
"91869-8","","","","","","","","","Bordetella pertussis DNA [Presence] in Throat by NAA with probe detection","الكشف عن بوردتيلا السعال الديكي باستخدام تقنية التفاعل التسلسلي للبوليميراز","الكشف عن بوردتيلا السعال الديكي باستخدام تقنية التفاعل التسلسلي للبوليميراز"
"97758-7","","","","","","","","","Fungus and Mycobacterium sp identified in Blood by Organism specific culture","الزراعة بشروط خاصة للكشف عن العصيات السلية أو الفطور","الزراعة بشروط خاصة للكشف عن العصيات السلية أو الفطور"
"5594-7","","","","","","","","","Beryllium [Mass/volume] in Serum or Plasma","قياس مستوى البيريليوم","قياس مستوى البيريليوم"
"59787-2","","","","","","","","","Catecholamines [Moles/volume] in Plasma","الكاتيكولامينات مجزأة (الأدرينالين ، النورأدرينالين ، الدوبامين) في البلازما","الكاتيكولامينات مجزأة (الأدرينالين ، النورأدرينالين ، الدوبامين) في البلازما"
"59826-8","","","","","","","","","Creatinine [Moles/volume] in Blood","قياس مستوى الكرياتينين في الدم","قياس مستوى الكرياتينين في الدم"
"60522-0","","","","","","","","","Borrelia hermsii IgG+IgM Ab [Presence] in Serum","الكشف عن تواجد الغلوبولينات المناعية نمط G و M للبوريليا هيرمسي","الكشف عن تواجد الغلوبولينات المناعية نمط G و M للبوريليا هيرمسي"
"61222-6","","","","","","","","","Aspergillus sp IgE Ab/IgE total in Serum","الأضداد الكلية للرشاشيات","الأضداد الكلية للرشاشيات"
"6357-8","","","","","","","","","Chlamydia trachomatis DNA [Presence] in Urine by NAA with probe detection","الكلاميديا الحثرية بطريقة التفاعل التسلسلي للبوليميراز","الكلاميديا "" المتدثرة "" الحثرية بطريقة التفاعل التسلسلي للبوليميراز"
"69742-5","","","","","","","","","CBC W Differential panel, method unspecified - Blood","تعداد الدم الكلي وتعداد أنواع كريات الدم البيضاء","تعداد الدم الكلي وتعداد أنواع كريات الدم البيضاء"
"7492-2","","","","","","","","","Multiple inhalant allergen IgE Ab [Units/volume] in Serum","الكشف عن نوع المادة المستنشقة المسببة للتحسس بالإعتماد على الغلوبولين المناعي نمط E","الكشف عن نوع المادة المستنشقة المسببة للتحسس بالإعتماد على الغلوبولين المناعي نمط E"
"78987-5","","","","","","","","","Provasopressin.C-terminal [Moles/volume] in Serum or Plasma by Immunoassay","البروفاسوبريسين باستخدام تقنية المقايسة المناعية","البروفاسوبريسين باستخدام تقنية المقايسة المناعية"
"882-1","","","","","","","","","ABO and Rh group [Type] in Blood","الزمرة الدموية والعامل الرايزوسي","الزمرة الدموية والعامل الرايزوسي"
"94593-1","","","","","","","","","Multiplex allergen panel - Serum or Plasma","الكشف عن نوع المادة المسببة للتحسس عند الأطفال ( 26 نوع ) بالإعتماد على الغلوبولين المناعي نمط E","الكشف عن نوع المادة المسببة للتحسس عند الأطفال ( 26 نوع ) بالإعتماد على الغلوبولين المناعي نمط E"
"9655-2","","","","","","","","","Campylobacter jejuni Ab [Titer] in Serum","عيار أضداد الغلوبولين المناعي من نمط G و M للكامبيلوباكتر إنتيستينالس والجيجوني","عيار أضداد الغلوبولين المناعي من نمط G و M للكامبيلوباكتر إنتيستينالس "" بكتيريا العطيفة "" والجيجوني "" بكتيريا العطيفة الصائمية """
"97097-0","","","","","","","","","SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay","الكشف عن فيروس الكورونا باستخدام تقنية المقايسة المناعية السريعة","الكشف عن فيروس الكورونا باستخدام تقنية المقايسة المناعية السريعة"
"98069-8","","","","","","","","","SARS-CoV-2 (COVID-19) Ab [Presence] in Saliva (oral fluid) by Rapid immunoassay","الكشف عن فيروس الكورونا باستخدام تقنية المقايسة المناعية السريعة","الكشف عن فيروس الكورونا باستخدام تقنية المقايسة المناعية السريعة"
"68931-5","","","","","","","","","Catecholamines Free [Mass/volume] in 24 hour Urine","الكاتيكولامين الحر","الكاتيكولامين الحر"
"73157-0","","","","","","","","","Rosuvastatin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC)","الكشف عن تواجد الإلوبولين المناعي نمط G للصصفائح الدموية المحفزة بالروزوفاستتين باستخدام تقنية قياس التدفق الخلوي","الكشف عن تواجد الإلوبولين المناعي نمط G للصصفائح الدموية المحفزة بالروزوفاستتين باستخدام تقنية قياس التدفق الخلوي"
"75217-0","","","","","","","","","Biotinidase [Enzymatic activity/volume] in DBS","قياس كمية البيوتينيداز","قياس كمية البيوتينيداز"
"77164-2","","","","","","","","","Karyotype [Identifier] in Products of Conception Nominal","تحديد النمط النووي للكروموسومات في منتجات الحمل","تحديد النمط النووي للكروموسومات في منتجات الحمل"
"77347-3","","","","","","","","","Beta-2 transferrin panel - Serum or Plasma and CSF","بيتا 2 ترانسفيرين أو بروتين بيتا التتبعي","بيتا 2 ترانسفيرين أو بروتين بيتا التتبعي"
"787-2","","","","","","","","","MCV [Entitic mean volume] in Red Blood Cells by Automated count","حجم الكرية الرئيسية في الكريات الحمراء باستخدام تقنية العد الآلي","حجم الكرية الرئيسية في الكريات الحمراء باستخدام تقنية العد الآلي"
"8161-2","","","","","","","","","Bismuth [Mass/volume] in Blood","قياس مستوى البزموث","قياس مستوى البزموث"
"8170-3","","","","","","","","","Cannabinoids [Mass/volume] in Serum or Plasma","قياس مستوى القِنَّب "" الحشيش ""","قياس مستوى القِنَّب "" الحشيش """
"9328-6","","","","","","","","","Carbidopa [Mass/volume] in Serum or Plasma","الكاربيدوبا "" السينيميت ""","الكاربيدوبا "" السينيميت """
"94558-4","","","","","","","","","SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory system specimen by Rapid immunoassay","الكشف عن فيروس الكورونا باستخدام تقنية المقايسة المناعية السريعة","الكشف عن فيروس الكورونا باستخدام تقنية المقايسة المناعية السريعة"
